%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude
1631535002972327894,397790,1631535002968361760,,67.7965621948,21.0726776123,419.540008545,39.9169998169
1631535003103992215,397791,1631535003097750758,,67.7965698242,21.0726795197,419.799987793,40.172000885
1631535003221881273,397792,1631535003219161727,,67.7965698242,21.072681427,420.059997559,40.4329986572
1631535003348485157,397793,1631535003344985422,,67.7965774536,21.0726852417,420.329986572,40.7060012817
1631535003472807640,397794,1631535003469564224,,67.796585083,21.072687149,420.600006104,40.9780006409
1631535003602408573,397795,1631535003595786509,,67.796585083,21.072687149,420.869995117,41.2470016479
1631535003728500811,397796,1631535003719033090,,67.7965927124,21.0726890564,421.130004883,41.5050010681
1631535003850085252,397797,1631535003845071600,,67.7965927124,21.0726928711,421.380004883,41.7569999695
1631535003970940671,397798,1631535003968259013,,67.7966003418,21.0726947784,421.619995117,41.9980010986
1631535004102310048,397799,1631535004097825483,,67.7966079712,21.0726966858,421.859985352,42.2379989624
1631535004222167645,397800,1631535004218508838,,67.7966156006,21.0726966858,422.089996338,42.4630012512
