rosbagTimestamp_in_nanoseconds,header,seq,stamp,secs,nsecs,frame_id,latitude,longitude,altitude,relative_altitude
1639659289571153459,,3890,,1639659289,570101390,'',55.4716339111,10.3260211945,29.9400005341,1.08399999142
1639659289611366749,,3891,,1639659289,610385945,'',55.4716339111,10.3260211945,29.9400005341,1.08500003815
1639659289650849381,,3892,,1639659289,650168578,'',55.4716339111,10.3260211945,29.9400005341,1.08599996567
1639659289694373822,,3893,,1639659289,693111449,'',55.4716339111,10.3260211945,29.9400005341,1.08599996567
1639659289731716317,,3894,,1639659289,730314231,'',55.4716339111,10.3260211945,29.9400005341,1.0870000124
1639659289771397605,,3895,,1639659289,770313153,'',55.4716339111,10.3260211945,29.9400005341,1.0870000124
1639659289811976690,,3896,,1639659289,810358379,'',55.4716339111,10.3260211945,29.9400005341,1.08800005913
1639659289851302489,,3897,,1639659289,850185684,'',55.4716339111,10.3260211945,29.9400005341,1.08800005913
1639659289894850706,,3898,,1639659289,892799913,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659289931424749,,3899,,1639659289,930168648,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659289971424791,,3900,,1639659289,970266034,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290011192512,,3901,,1639659290,10140507,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290050593799,,3902,,1639659290,49221921,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290096519466,,3903,,1639659290,93066524,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290131370494,,3904,,1639659290,130270554,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290171443273,,3905,,1639659290,170338404,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290211300434,,3906,,1639659290,210295822,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290250187479,,3907,,1639659290,249261011,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290295906969,,3908,,1639659290,292648332,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290331560017,,3909,,1639659290,330310156,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290373242658,,3910,,1639659290,370160117,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290409924670,,3911,,1639659290,409232251,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290450881548,,3912,,1639659290,450144137,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290494955143,,3913,,1639659290,491682937,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290531619107,,3914,,1639659290,530456382,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290569807077,,3915,,1639659290,569171394,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290611711159,,3916,,1639659290,610366097,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659290651369664,,3917,,1639659290,650077978,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290693893716,,3918,,1639659290,692980592,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290731361843,,3919,,1639659290,730174318,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290770361273,,3920,,1639659290,769201556,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290812237515,,3921,,1639659290,810374787,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290851022096,,3922,,1639659290,850174668,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290896929491,,3923,,1639659290,892823329,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290931241924,,3924,,1639659290,929958783,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659290971437839,,3925,,1639659290,970327499,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659291012775071,,3926,,1639659291,10129332,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659291053153034,,3927,,1639659291,50200414,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659291094001304,,3928,,1639659291,92741203,'',55.4716339111,10.3260211945,29.9500007629,1.09000003338
1639659291131641144,,3929,,1639659291,130386930,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659291171712834,,3930,,1639659291,170185980,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659291212042989,,3931,,1639659291,210587527,'',55.4716339111,10.3260211945,29.9400005341,1.08899998665
1639659291250973779,,3932,,1639659291,250329712,'',55.4716339111,10.3260211945,29.9400005341,1.08800005913
1639659291294011242,,3933,,1639659291,292846981,'',55.4716339111,10.3260211945,29.9400005341,1.08800005913
1639659291331670538,,3934,,1639659291,330336996,'',55.4716339111,10.3260211945,29.9400005341,1.08800005913
1639659291373640668,,3935,,1639659291,370854512,'',55.4716339111,10.3260211945,29.9400005341,1.08800005913
1639659291411260764,,3936,,1639659291,410264343,'',55.4716339111,10.3260211945,29.9400005341,1.08800005913
1639659291451125605,,3937,,1639659291,450144289,'',55.4716339111,10.3260211945,29.9400005341,1.08800005913
1639659291493264376,,3938,,1639659291,491776722,'',55.4716339111,10.3260211945,29.9400005341,1.0870000124
1639659291531069273,,3939,,1639659291,530147285,'',55.4716339111,10.3260211945,29.9400005341,1.0870000124
1639659291569924382,,3940,,1639659291,569187963,'',55.4716339111,10.3260211945,29.9400005341,1.0870000124
1639659291611660143,,3941,,1639659291,610362953,'',55.4716339111,10.3260211945,29.9400005341,1.08599996567
1639659291651571449,,3942,,1639659291,650283379,'',55.4716339111,10.3260211945,29.9400005341,1.08599996567
1639659291695351923,,3943,,1639659291,692940392,'',55.4716339111,10.3260211945,29.9400005341,1.08599996567
